pickup_hour,rank,zone_id,trips
2002-12-31 22:00:00,1,170,1
2009-01-01 00:00:00,1,236,1
2023-10-31 14:00:00,1,249,1
2023-10-31 15:00:00,1,239,1
2023-10-31 19:00:00,1,158,1
2023-10-31 19:00:00,2,170,1
2023-10-31 20:00:00,1,48,1
2023-10-31 21:00:00,1,114,1
2023-10-31 22:00:00,1,45,1
2023-10-31 22:00:00,2,170,1
2023-10-31 23:00:00,1,48,2
2023-10-31 23:00:00,2,68,2
2023-10-31 23:00:00,3,132,2
2023-10-31 23:00:00,4,163,2
2023-10-31 23:00:00,5,79,1
2023-10-31 23:00:00,6,142,1
2023-10-31 23:00:00,7,144,1
2023-10-31 23:00:00,8,211,1
2023-10-31 23:00:00,9,231,1
2023-10-31 23:00:00,10,237,1
2023-11-01 00:00:00,1,132,201
2023-11-01 00:00:00,2,79,198
2023-11-01 00:00:00,3,249,190
2023-11-01 00:00:00,4,114,145
2023-11-01 00:00:00,5,48,101
2023-11-01 00:00:00,6,148,90
2023-11-01 00:00:00,7,158,90
2023-11-01 00:00:00,8,234,87
2023-11-01 00:00:00,9,230,86
2023-11-01 00:00:00,10,68,78
2023-11-01 01:00:00,1,249,162
2023-11-01 01:00:00,2,79,138
2023-11-01 01:00:00,3,148,101
2023-11-01 01:00:00,4,246,96
2023-11-01 01:00:00,5,114,85
2023-11-01 01:00:00,6,158,80
2023-11-01 01:00:00,7,48,78
2023-11-01 01:00:00,8,68,72
2023-11-01 01:00:00,9,234,53
2023-11-01 01:00:00,10,90,46
2023-11-01 02:00:00,1,79,135
2023-11-01 02:00:00,2,249,109
2023-11-01 02:00:00,3,148,106
2023-11-01 02:00:00,4,48,86
2023-11-01 02:00:00,5,246,86
2023-11-01 02:00:00,6,68,78
2023-11-01 02:00:00,7,158,63
2023-11-01 02:00:00,8,114,51
2023-11-01 02:00:00,9,144,35
2023-11-01 02:00:00,10,234,35
2023-11-01 03:00:00,1,79,96
2023-11-01 03:00:00,2,246,80
2023-11-01 03:00:00,3,48,69
2023-11-01 03:00:00,4,148,60
2023-11-01 03:00:00,5,68,59
2023-11-01 03:00:00,6,158,51
