zone_id,hour_of_week,mean,std,n
1,5,1.0,0.0,1
1,6,1.0,0.0,1
1,10,1.0,0.0,2
1,13,1.2,0.4,5
1,14,1.0,0.0,1
1,15,1.0,0.0,2
1,16,1.0,0.0,2
1,17,1.0,0.0,1
1,18,1.0,0.0,3
1,19,1.0,0.0,1
1,20,1.0,0.0,1
1,32,1.0,0.0,1
1,33,1.0,0.0,2
1,35,1.0,0.0,1
1,36,1.0,0.0,1
1,37,1.0,0.0,1
1,38,1.0,0.0,3
1,39,3.0,0.0,1
1,40,1.0,0.0,1
1,41,1.0,0.0,1
1,46,1.0,0.0,1
1,52,1.0,0.0,1
1,55,1.0,0.0,1
1,58,1.0,0.0,1
1,59,1.0,0.0,1
1,61,1.0,0.0,1
1,62,1.3333333333333333,0.4714045207910317,3
1,63,1.3333333333333333,0.4714045207910317,3
1,64,1.0,0.0,3
1,65,1.0,0.0,1
1,66,1.0,0.0,1
1,70,1.0,0.0,1
1,73,1.0,0.0,1
1,75,1.0,0.0,1
1,80,1.0,0.0,1
1,81,1.0,0.0,2
1,86,1.0,0.0,2
1,87,1.0,0.0,2
1,88,1.0,0.0,2
1,89,1.0,0.0,2
1,90,1.5,0.5,2
1,91,1.0,0.0,1
1,92,1.0,0.0,1
1,94,1.0,0.0,1
1,99,1.0,0.0,1
1,101,1.0,0.0,1
1,102,1.0,0.0,1
1,103,2.5,1.5,2
1,104,1.0,0.0,1
1,105,2.0,0.0,1
1,107,1.0,0.0,2
1,108,1.0,0.0,5
1,110,1.0,0.0,2
1,111,1.0,0.0,1
1,113,1.5,0.8660254037844386,4
1,116,1.0,0.0,2
1,130,1.0,0.0,1
1,131,1.0,0.0,1
1,132,1.5,0.5,2
1,133,2.0,0.0,1
1,134,1.5,0.5,2
1,135,1.0,0.0,3
1,136,1.4,0.4898979485566356,5
1,137,1.0,0.0,2
1,138,1.0,0.0,3
1,139,1.0,0.0,1
1,140,1.0,0.0,1
1,147,1.0,0.0,1
1,148,1.0,0.0,1
1,152,1.5,0.5,2
1,154,1.0,0.0,3
1,155,1.0,0.0,1
1,156,1.0,0.0,1
1,157,1.3333333333333333,0.4714045207910317,3
1,158,1.0,0.0,4
1,159,1.3333333333333333,0.4714045207910317,3
1,160,1.6666666666666667,0.4714045207910317,3
1,161,1.6666666666666667,0.9428090415820634,3
1,162,1.0,0.0,3
1,163,1.0,0.0,3
1,164,1.0,0.0,1
2,37,1.0,0.0,1
2,71,1.0,0.0,1
2,101,1.0,0.0,1
2,113,1.0,0.0,1
3,1,1.0,0.0,1
3,4,1.0,0.0,1
3,5,1.0,0.0,1
3,6,1.0,0.0,1
3,8,1.0,0.0,1
3,9,1.0,0.0,1
3,10,1.0,0.0,1
3,11,1.0,0.0,3
3,12,1.0,0.0,1
3,13,1.0,0.0,2
3,14,1.0,0.0,1
3,15,1.0,0.0,1
3,18,2.0,0.0,1
3,27,1.0,0.0,1
3,28,1.0,0.0,1
3,29,1.0,0.0,3
3,30,1.0,0.0,2
3,31,1.0,0.0,1
3,32,1.0,0.0,5
3,33,1.0,0.0,2
3,34,1.5,0.5,2
3,35,1.25,0.4330127018922193,4
3,36,1.0,0.0,1
3,37,1.0,0.0,1
3,38,1.0,0.0,1
3,39,1.0,0.0,1
3,40,1.0,0.0,2
3,42,1.0,0.0,1
3,47,1.0,0.0,1
3,53,1.0,0.0,1
3,56,1.1666666666666667,0.3726779962499649,6
3,57,1.25,0.4330127018922193,4
3,58,2.0,0.0,1
3,59,1.0,0.0,2
3,60,1.0,0.0,2
3,61,1.0,0.0,3
3,62,1.0,0.0,3
3,63,1.0,0.0,1
3,64,1.0,0.0,1
3,68,1.0,0.0,1
3,69,1.0,0.0,1
