day_type,hour_of_day,trips
weekday,0,129627
weekday,1,67371
weekday,2,39066
weekday,3,27026
weekday,4,26263
weekday,5,42291
weekday,6,102656
weekday,7,220445
weekday,8,297425
weekday,9,312906
weekday,10,323146
weekday,11,341663
weekday,12,365373
weekday,13,377320
weekday,14,414944
weekday,15,434513
weekday,16,428616
weekday,17,479764
weekday,18,506768
weekday,19,439216
weekday,20,396075
weekday,21,404253
weekday,22,364071
weekday,23,265689
weekend,0,130494
weekend,1,106913
weekend,2,75037
weekend,3,48604
weekend,4,26971
weekend,5,12355
weekend,6,19621
weekend,7,30897
weekend,8,51163
weekend,9,80936
weekend,10,108852
weekend,11,128953
weekend,12,148681
weekend,13,155546
weekend,14,157924
weekend,15,161544
weekend,16,163051
weekend,17,161992
weekend,18,160300
weekend,19,149250
weekend,20,128110
weekend,21,124764
weekend,22,121447
weekend,23,109786
